Supplementary Table S7. Univariable Cox regression analysis of TE score across 24 cancer types					
pvalue	hr	hr_left	hr_right	conf_int	type
0.265946066	1.76	0.65	4.78	 (0.65 - 4.78)	ACC
0.121499964	0.76	0.53	1.08	 (0.53 - 1.08)	BLCA
0.001903599	0.56	0.39	0.81	 (0.39 - 0.81)	BRCA
0.046266493	0.52	0.28	0.99	 (0.28 - 0.99)	CESC
0.001803697	2.03	1.3	3.17	 (1.3 - 3.17)	CRC
0.324071196	0.34	0.04	2.89	 (0.04 - 2.89)	DLBC
0.429376665	1.19	0.77	1.83	 (0.77 - 1.83)	GBM
0.000261274	0.52	0.37	0.74	 (0.37 - 0.74)	HNSC
0.249990188	3.3	0.45	24.32	 (0.45 - 24.32)	KICH
3.92E-07	1.78	1.43	2.22	 (1.43 - 2.22)	KIRC
0.467381938	1.24	0.69	2.24	 (0.69 - 2.24)	KIRP
0.141863988	0.54	0.24	1.23	 (0.24 - 1.23)	LGG
0.042342395	0.6	0.37	0.98	 (0.37 - 0.98)	LIHC
0.2670059	0.83	0.6	1.15	 (0.6 - 1.15)	LUAD
0.147381045	0.82	0.62	1.07	 (0.62 - 1.07)	LUSC
0.001954062	0.66	0.51	0.86	 (0.51 - 0.86)	OV
0.624132242	0.78	0.28	2.12	 (0.28 - 2.12)	PAAD
0.148460069	0.02	0	9.88	 (0 - 9.88)	PRAD
0.775274791	1.11	0.55	2.21	 (0.55 - 2.21)	SARC
0.460096703	0.77	0.38	1.55	 (0.38 - 1.55)	SKCM
0.887027239	1.02	0.77	1.35	 (0.77 - 1.35)	STAD
0.43055674	1.54	0.53	4.47	 (0.53 - 4.47)	THCA
0.349249002	1.38	0.7	2.71	 (0.7 - 2.71)	UCEC
0.172647716	0.57	0.25	1.28	 (0.25 - 1.28)	UCS
