Supplementary Table 1. Univariable Cox regression analysis of individual TEs in four endpoints.													
coef	se	z	p	HR	HRse	HRz	HRp	HRCILL	HRCIUL	repName	repFamily	repClass	endpoint
-1.003	0.416	-2.413	0.016	0.367	0.152	-4.154	0	0.162	0.828	AluYb9	Alu	SINE	dfi
-1.277	0.46	-2.778	0.005	0.279	0.128	-5.625	0	0.113	0.687	AluYc	Alu	SINE	dfi
-1.083	0.435	-2.492	0.013	0.338	0.147	-4.497	0	0.144	0.793	AluYj4	Alu	SINE	dfi
0.889	0.403	2.207	0.027	2.431	0.979	1.462	0.144	1.105	5.352	Chap1_Mam	hAT-Charlie	DNA	dfi
0.965	0.404	2.387	0.017	2.624	1.061	1.532	0.126	1.189	5.795	Charlie11	hAT-Charlie	DNA	dfi
0.903	0.402	2.243	0.025	2.466	0.992	1.477	0.14	1.121	5.427	Charlie14a	hAT-Charlie	DNA	dfi
0.979	0.404	2.425	0.015	2.661	1.074	1.547	0.122	1.207	5.871	Charlie17	hAT-Charlie	DNA	dfi
1.097	0.418	2.628	0.009	2.996	1.251	1.595	0.111	1.322	6.792	Charlie18a	hAT-Charlie	DNA	dfi
0.863	0.393	2.196	0.028	2.37	0.931	1.471	0.141	1.097	5.119	Charlie19a	hAT-Charlie	DNA	dfi
0.795	0.393	2.024	0.043	2.214	0.869	1.396	0.163	1.025	4.78	Charlie21a	hAT-Charlie	DNA	dfi
1.274	0.435	2.931	0.003	3.577	1.555	1.657	0.098	1.525	8.387	Charlie22a	hAT-Charlie	DNA	dfi
1.315	0.437	3.012	0.003	3.725	1.626	1.676	0.094	1.583	8.766	Charlie23a	hAT-Charlie	DNA	dfi
0.93	0.404	2.302	0.021	2.534	1.023	1.499	0.134	1.148	5.591	Charlie29a	hAT-Charlie	DNA	dfi
0.816	0.395	2.063	0.039	2.261	0.894	1.41	0.158	1.042	4.908	Charlie6	hAT-Charlie	DNA	dfi
0.864	0.402	2.15	0.032	2.372	0.953	1.44	0.15	1.079	5.215	Charlie7a	hAT-Charlie	DNA	dfi
1.061	0.405	2.623	0.009	2.89	1.169	1.616	0.106	1.308	6.387	CR1-3_Croc	CR1	LINE	dfi
0.81	0.403	2.013	0.044	2.249	0.905	1.38	0.168	1.022	4.95	CR1-L3A_Croc	CR1	LINE	dfi
1.089	0.416	2.617	0.009	2.971	1.236	1.594	0.111	1.314	6.715	ERV3-16A3_I-int	ERVL	LTR	dfi
0.869	0.417	2.083	0.037	2.385	0.995	1.391	0.164	1.053	5.404	Eulor8	TcMar?	DNA	dfi
1.032	0.373	2.771	0.006	2.808	1.046	1.728	0.084	1.353	5.828	Eulor9C	DNA	DNA	dfi
1.021	0.417	2.45	0.014	2.775	1.156	1.535	0.125	1.226	6.28	HAL1b	L1	LINE	dfi
0.81	0.395	2.051	0.04	2.248	0.887	1.406	0.16	1.037	4.873	HERV-Fc1-int	ERV1	LTR	dfi
1.294	0.434	2.977	0.003	3.646	1.584	1.67	0.095	1.556	8.543	HERV1_LTRc	ERV1	LTR	dfi
0.777	0.392	1.984	0.047	2.174	0.851	1.379	0.168	1.009	4.683	HERVH48-int	ERV1	LTR	dfi
0.862	0.392	2.199	0.028	2.368	0.928	1.474	0.141	1.098	5.106	HERVK3-int	ERVK	LTR	dfi
0.835	0.402	2.074	0.038	2.304	0.927	1.406	0.16	1.047	5.07	HUERS-P2-int	ERV1	LTR	dfi
0.908	0.393	2.311	0.021	2.479	0.974	1.519	0.129	1.148	5.353	HUERS-P3b-int	ERV1	LTR	dfi
